job_title,job_skills,company,job_location,job_level,job_type,job_title_clean,job_skills_clean
Sr. Workforce Management Data Analyst,"SQL, Database Administration, Advanced Statistical Analysis, Predictive Analytics, Forecasting Techniques, Data Abnormalities Detection, Contact Workforce Management, Crossfunctional Collaboration, Performance Analytics, Business Intelligence, Root Cause Analysis, Forecasting and Scheduling, Service Level Management, Hindsight Analysis, Business Communication, Problemsolving, Decisionmaking, Excel, ACD, BackOffice Work Routing, WFM Software, Bachelor's degree in business accounting finance statistics or economics","Wisemen Multimedia, LLC","Atlanta, GA",Mid senior,Onsite,sr workforce management data analyst,sql database administration advanced statistical analysis predictive analytics forecasting techniques data abnormalities detection contact workforce management crossfunctional collaboration performance analytics business intelligence root cause analysis forecasting and scheduling service level management hindsight analysis business communication problemsolving decisionmaking excel acd backoffice work routing wfm software bachelor s degree in business accounting finance statistics or economics
Master Data Management - Data/Process Analyst,"Master Data Analyst, Data/Master Data Experience, Polished People/Senior Stakeholder Engagement, Data Cleansing, Data Ingestion Pipelines, Business Process Workflow, Data Matching & Deduplication, Standardization, SemiAgile Delivery Framework, MDM Strategies, MDM Policies, MDM Functional Implementation, MDM Requirement Analysis, Deterministic Matching, Probabilistic Matching, Master Data Hierarchy Management, HighLevel Design, Data Profiling, Data Scorecard Development, Exception Management, LargeScale MDM Project Implementation, Thought Leadership, Data Quality Analysis, Data Governance Policies, Data Transformation, ETL Flows, SourcetoTarget Mapping, Requirements Gathering, Agile/Waterfall SDLC, Time Management, Business Communication, Analytical Skills, ProblemSolving, Informatica MDM/DG, SAP MDM, Data Enrichment, Dun & Bradstreet, SQL",OpenText,"Pasadena, CA",Mid senior,Onsite,master data management data process analyst,master data analyst data master data experience polished people senior stakeholder engagement data cleansing data ingestion pipelines business process workflow data matching deduplication standardization semiagile delivery framework mdm strategies mdm policies mdm functional implementation mdm requirement analysis deterministic matching probabilistic matching master data hierarchy management highlevel design data profiling data scorecard development exception management largescale mdm project implementation thought leadership data quality analysis data governance policies data transformation etl flows sourcetotarget mapping requirements gathering agile waterfall sdlc time management business communication analytical skills problemsolving informatica mdm dg sap mdm data enrichment dun bradstreet sql
4 Corporate Associate Positions (AmLaw),"Corporate Law, Private Equity, Venture Capital, M&A, Securities Law, SEC Periodic Reporting, Stock Exchange Rules, Corporate Governance, Capital Raising, Mergers and Acquisitions, Equity Offerings, Debt Offerings, Banking and Finance, Litigation, Collaborative Environment, Exchange Regulations",LHH,"Atlanta, GA",Associate,Onsite,4 corporate associate positions amlaw,corporate law private equity venture capital m a securities law sec periodic reporting stock exchange rules corporate governance capital raising mergers and acquisitions equity offerings debt offerings banking and finance litigation collaborative environment exchange regulations
Sr. Database Administrator,"SQL, AWS, DBA case tools, SQL Server, SQL programming, Scripts, Structured query language, Algorithmic thinking, Programming languages API, Data backup, Data recovery, Data security, Data integrity, Database standards, End user applications, Database design, Database documentation, Database coding, Problemsolving, Attention to detail, Accuracy, Communication skills, Interpersonal skills",Dice,"Yorba Linda, CA",Mid senior,Onsite,sr database administrator,sql aws dba case tools sql server sql programming scripts structured query language algorithmic thinking programming languages api data backup data recovery data security data integrity database standards end user applications database design database documentation database coding problemsolving attention to detail accuracy communication skills interpersonal skills
Senior MLOps Engineer,"Machine Learning Operations (ML Ops), Engineering, Evaluation Experimentation, Monitoring Processes, ML Workflows, Data Engineering, ETL Pipelines, LLMs, NLP, Reinforcement Learning, Probabilistic Graphs, Deep Learning, Autonomy, Flexibility, Teamfirst Mentality, Mentoring, NYCbased, Hiring, Financial Workflows, Product Ownership",Recruiting from Scratch,"Atlanta, GA",Mid senior,Onsite,senior mlops engineer,machine learning operations ml ops engineering evaluation experimentation monitoring processes ml workflows data engineering etl pipelines llms nlp reinforcement learning probabilistic graphs deep learning autonomy flexibility teamfirst mentality mentoring nycbased hiring financial workflows product ownership
Data Engineer Manager,"Data Engineering, Data Analytics, Data Warehousing, Data Modelling, Data Pipeline Design, ETL (Extract Transform Load), Cloud Computing, Data Lake, Data Strategy, Data Management, Data Governance, SQL, Python, Advanced Statistics, Machine Learning, Team Leadership, Business Requirements Gathering, Business Intelligence, Reporting, Data Visualization, Data Quality, Data Security, Full UK Driving Licence",Energy Jobline,"Wolverhampton, England, United Kingdom",Mid senior,Onsite,data engineer manager,data engineering data analytics data warehousing data modelling data pipeline design etl extract transform load cloud computing data lake data strategy data management data governance sql python advanced statistics machine learning team leadership business requirements gathering business intelligence reporting data visualization data quality data security full uk driving licence
Data Analyst Part Time,"Data Analysis, Data Visualization, Statistical Techniques, Machine Learning, Data Mining, SQL, Python, R, Tableau, Power BI, Data Modeling, Data Quality Management, Data Processing, A/B Testing, Statistical Modeling, Hypothesis Testing, Data Management, ETL Processes, Business Intelligence, DataDriven Decision Making",Toyandsons,"Waterloo, Ontario, Canada",Mid senior,Onsite,data analyst part time,data analysis data visualization statistical techniques machine learning data mining sql python r tableau power bi data modeling data quality management data processing a b testing statistical modeling hypothesis testing data management etl processes business intelligence datadriven decision making
Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern,"Hardware Validation, ML/AI Frameworks, Test Execution, Automation Development, Debugging, GPU, HighPerformance Computing, Python, Linux, C/C++, Schematics, Circuit Design, Data Traffic Management, Electrical Laboratory Equipment, Computer Architecture, Processors, Interconnects, Firmware, ML/AI Models, Workloads",AMD,"Austin, TX",Mid senior,Onsite,summer 2024 datacenter hardware validation engineer undergrad co op intern,hardware validation ml ai frameworks test execution automation development debugging gpu highperformance computing python linux c c schematics circuit design data traffic management electrical laboratory equipment computer architecture processors interconnects firmware ml ai models workloads
Enterprise Data Manager/Product owner,"Data governance, Data lineage, Data interdependencies, Data standards, Data consistency, Governance rules, Governance controls, Data quality, Data analytics, Business intelligence, Data lakes, Data Warehouse, Data gaps, Data flows, Data catalogues, Relational databases, Data transformations, Data mappings, Data modelling, Data findings, Data recommendations, Data consolidation, Agile Product Owner, Healthcare IT systems, Electronic Medical Record systems, EDW, Data Maturity Model, Tableau, Power BI, Data modernization, Data security, Data stewards, Dashboards, Data assets, Data feeds, Data privacy, Data governance policies, Data governance meetings, Third party data, First party data, Derivative data, Second party data, Product backlog, Product development, Product stakeholders, Health Informatics, Public Health, Data Science, Epidemiology, Biostatistics, Public Policy, Health Policy, Health Services Research, Health Information Sciences, Computer Science, Data governance efforts, Data sharing projects, Agile Product Owner, Enterprisewide data governance, Data lakes, Data maturity models, Health and human services",DMVTEK,State College-DuBois Area,Mid senior,Onsite,enterprise data manager product owner,data governance data lineage data interdependencies data standards data consistency governance rules governance controls data quality data analytics business intelligence data lakes data warehouse data gaps data flows data catalogues relational databases data transformations data mappings data modelling data findings data recommendations data consolidation agile product owner healthcare it systems electronic medical record systems edw data maturity model tableau power bi data modernization data security data stewards dashboards data assets data feeds data privacy data governance policies data governance meetings third party data first party data derivative data second party data product backlog product development product stakeholders health informatics public health data science epidemiology biostatistics public policy health policy health services research health information sciences computer science data governance efforts data sharing projects agile product owner enterprisewide data governance data lakes data maturity models health and human services
IT Database Developer Senior - DBA Admin,"SQL Server, SSIS, Power BI, Azure, AWS, Windows, Linux, PowerShell, SQL DBA, System Utilities, Debugging Tools, Monitoring Tools, Corporate Database Standards, Strategic Database Technologies, Data Management Principles, Data Management Techniques, Information Systems",Experis,"Minneapolis, MN",Mid senior,Onsite,it database developer senior dba admin,sql server ssis power bi azure aws windows linux powershell sql dba system utilities debugging tools monitoring tools corporate database standards strategic database technologies data management principles data management techniques information systems
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Revenue Cycle, Healthcare Data Analysis, Data Visualization, Epic Clarity Reporting, SQL, Python, R, Analytic Methods, Statistical Methods, Project Management, Agile Development, Communication Skills, Technical Abilities, Epic Revenue Cycle Certification, Certified Health Data Analyst (CHDA) certification, Bachelor of Science degree, 4+ years of relevant experience, 2+ years of data analysis in healthcare, Strong grasp of analytic and statistical methods, Clinical Experience, Excellent written and oral communication skills, Excellent organizational and analytical skills, Strong technical abilities",Deloitte,"Mississippi, United States",Mid senior,Onsite,contractor epic clarity data analyst revenue cycle,revenue cycle healthcare data analysis data visualization epic clarity reporting sql python r analytic methods statistical methods project management agile development communication skills technical abilities epic revenue cycle certification certified health data analyst chda certification bachelor of science degree 4 years of relevant experience 2 years of data analysis in healthcare strong grasp of analytic and statistical methods clinical experience excellent written and oral communication skills excellent organizational and analytical skills strong technical abilities
Data Engineering Architect,"Data Engineering, Data Architect, Data Infrastructure, Data Pipelines, AWS S3, AWS EMR, GraphQL API, Data Science, Data Analysis, SQL, NoSQL, DataFocused Programming Languages, Python, R, Scala, Petabytes of Data, Bachelor's Degree, Master's Degree, AWS Certified Cloud Data Engineer, ETL Systems, ELT Systems",Dice,"Greenwood Village, CO",Mid senior,Onsite,data engineering architect,data engineering data architect data infrastructure data pipelines aws s3 aws emr graphql api data science data analysis sql nosql datafocused programming languages python r scala petabytes of data bachelor s degree master s degree aws certified cloud data engineer etl systems elt systems
"Staff Data Engineer, Fleet Analytics","Data analytics, Data engineering, Data science, Data processing, Data pipelines, Data visualizations, Machine learning, Software engineering, Python, SQL, Scala, Hadoop Distributed File System (HDFS), Spark, Presto, Linux, Ansible, Docker, Kubernetes, Jupyter Notebooks, Pandas, Bokeh, Superset, Airflow, Statistics, Communication skills, Problemsolving skills",Tesla,"Palo Alto, CA",Mid senior,Onsite,staff data engineer fleet analytics,data analytics data engineering data science data processing data pipelines data visualizations machine learning software engineering python sql scala hadoop distributed file system hdfs spark presto linux ansible docker kubernetes jupyter notebooks pandas bokeh superset airflow statistics communication skills problemsolving skills
"Senior Data Engineer - Azure, Python, Scala, Spark","Azure, ADLS, Databricks, Stream Analytics, SQL DW, COSMOS DB, Analysis Services, Azure Functions, Serverless Architecture, ARM Templates, Python, SQL, Scala, SparkSQL, Hadoop, Spark, Kafka, Postgres, Cassandra, Azkaban, Luigi, Airflow, Storm",Templeton and Partners - Tech Recruitment,"London, England, United Kingdom",Mid senior,Onsite,senior data engineer azure python scala spark,azure adls databricks stream analytics sql dw cosmos db analysis services azure functions serverless architecture arm templates python sql scala sparksql hadoop spark kafka postgres cassandra azkaban luigi airflow storm
"Senior Data Engineer, Public Company","Data Engineering, Business Intelligence, Data Science, Python, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, pySpark, SQL, TDD, Pair Programming, Continuous Integration, Automated Testing, Deployment, StreamProcessing Systems, Kafka, Storm, SparkStreaming, Dimensional Data Modeling, Schema Design, ETL, Data Warehouses, Data Management Tools, Data Classification, Data Retention",Recruiting from Scratch,"St Louis, MO",Mid senior,Onsite,senior data engineer public company,data engineering business intelligence data science python snowflake airflow kubernetes docker helm spark pyspark sql tdd pair programming continuous integration automated testing deployment streamprocessing systems kafka storm sparkstreaming dimensional data modeling schema design etl data warehouses data management tools data classification data retention
IT- Data Lifecycle Manager,"Data Lifecycle Management, File System Management, Data Governance, Network Share Management, Project Folder/File Structure Creation, Network Share/File/Folder Permissions Management, Large Data Set Migration, Legacy to Modern Systems Data Transfer, NonHomogenous File/Directory Structures Data Integration, Microsoft Distributed File Systems, Windows Server OS Administration, Microsoft Office 365, Active Directory, Granular NTFS File Permissions, Windows File ACLs, NFS Shares, CloudBased Storage Systems, Azure, AWS, Communication Skills, Troubleshooting, Organizational Skills, SQL",LaBella Associates,"Albany, NY",Mid senior,Onsite,it data lifecycle manager,data lifecycle management file system management data governance network share management project folder file structure creation network share file folder permissions management large data set migration legacy to modern systems data transfer nonhomogenous file directory structures data integration microsoft distributed file systems windows server os administration microsoft office 365 active directory granular ntfs file permissions windows file acls nfs shares cloudbased storage systems azure aws communication skills troubleshooting organizational skills sql
"Lead Software Engineer, Full Stack (Enterprise Data)","Software Engineering, Microservices, Full Stack Development, Cloud Computing (AWS Microsoft Azure Google Cloud), Programming Languages (Python Go), AWS Tools and Services, Data Management, Data Compliance, Mentoring, Technical Problem Solving, Agile Practices, People Management, Open Source Frameworks (Airflow Spark Presto Snowflake), Regulatory Compliance",Jobs for Humanity,"Fredericksburg, VA",Mid senior,Onsite,lead software engineer full stack enterprise data,software engineering microservices full stack development cloud computing aws microsoft azure google cloud programming languages python go aws tools and services data management data compliance mentoring technical problem solving agile practices people management open source frameworks airflow spark presto snowflake regulatory compliance
Senior Architect - Data Analytics Product Line,"Senior Architect, Data Analytics, Product Line, Project Management, Design, Strategy, Agile Development, Collaboration, Presentation Skills, Leadership, Communication, Business Acumen, Master's Degree, Computer Science, Engineering, Math, Security Clearance, Washington DC","RSC2, Inc.","Washington, DC",Mid senior,Onsite,senior architect data analytics product line,senior architect data analytics product line project management design strategy agile development collaboration presentation skills leadership communication business acumen master s degree computer science engineering math security clearance washington dc
VCP Design to Value Project Manager and Data Analyst-MR,"Variable Cost Productivity, Data Analytics, Costbenefit Analysis, Return on Investment Analysis, Product Configuration Management, Locally Sourced Items, Data Mining, LEAN, Six Sigma, ISO, CFDA, SQL, HTML, CSS, JavaScript, Python, C++, Java",GE HealthCare,"Waukesha, WI",Mid senior,Onsite,vcp design to value project manager and data analyst mr,variable cost productivity data analytics costbenefit analysis return on investment analysis product configuration management locally sourced items data mining lean six sigma iso cfda sql html css javascript python c java
"Lead Data Engineer, (Python, Java or Scala)","Python, Java, Scala, Agile, Data Modeling, Machine Learning, Distributed Microservices, Cloud Computing, AWS, Microsoft Azure, Google Cloud, Open Source RDBMS, NoSQL, Cloudbased Data Infrastructure, SQL, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, MySQL, UNIX/Linux, Agile Engineering Practices",Dice,"Philadelphia, PA",Mid senior,Onsite,lead data engineer python java or scala,python java scala agile data modeling machine learning distributed microservices cloud computing aws microsoft azure google cloud open source rdbms nosql cloudbased data infrastructure sql hadoop hive emr kafka spark gurobi mysql unix linux agile engineering practices
Data Scientist,"Data science, Machine learning, Artificial intelligence, Data management, Data analysis, Data visualization, Business intelligence, Data mining, R, Python, Pytorch, Tensorflow, Model building",Futran Solutions,"Dallas, TX",Mid senior,Onsite,data scientist,data science machine learning artificial intelligence data management data analysis data visualization business intelligence data mining r python pytorch tensorflow model building
Senior Data Analyst,"Data Analysis, Reporting, Team Management, Data Systems Improvement, SQL, Tableau, Excel, Leadership, Decision Making, Time Management, Communication, Team Work, Annual Leave, Benefits, Performance Bonus, Pension Scheme, Life Assurance, Colleague Discount, Training",Huws Gray,"Awsworth, England, United Kingdom",Mid senior,Onsite,senior data analyst,data analysis reporting team management data systems improvement sql tableau excel leadership decision making time management communication team work annual leave benefits performance bonus pension scheme life assurance colleague discount training
Data Visualization / Business Intelligence Analyst (3019),"Data Visualization, Business Intelligence, Power BI, DAX, SQL, TransactSQL, OLTP, OLAP, ETL/ELT, Excel, Data Structures, Data Integrity, Software Development Lifecycle, Security, Privacy, Documentation, Communication, Interpersonal Skills, Presentation Skills, Critical Thinking, Problem Solving, Analytical Skills, Initiative, Teamwork, Time Management, Prioritization, DoD 8570, SECNAV 5239.2, Secret Clearance or ability to obtain, Bachelor's degree in Computer Science Information Systems or Computer Engineering, 4 years related experience, 3+ years of BI development using Power BI or equivalent tool, 3+ years of SQL and databases, 3+ years of Excel experience, Knowledge of ETL/ELT techniques and methodologies along with best practices, Exceptional analytical critical thinking and problemsolving abilities, Highly selfdirected, Takes initiative, Can work independently while being a strong contributor to a team, Effective prioritization and time management skills, Can thrive in a dynamic environment in which priorities might change frequently, Excellent communication and interpersonal skills, Strong documentation and presentation skills, Work requires CSWF certification, Security+ or CISSP",SMX,"Port Hueneme, CA",Mid senior,Onsite,data visualization business intelligence analyst 3019,data visualization business intelligence power bi dax sql transactsql oltp olap etl elt excel data structures data integrity software development lifecycle security privacy documentation communication interpersonal skills presentation skills critical thinking problem solving analytical skills initiative teamwork time management prioritization dod 8570 secnav 5239 2 secret clearance or ability to obtain bachelor s degree in computer science information systems or computer engineering 4 years related experience 3 years of bi development using power bi or equivalent tool 3 years of sql and databases 3 years of excel experience knowledge of etl elt techniques and methodologies along with best practices exceptional analytical critical thinking and problemsolving abilities highly selfdirected takes initiative can work independently while being a strong contributor to a team effective prioritization and time management skills can thrive in a dynamic environment in which priorities might change frequently excellent communication and interpersonal skills strong documentation and presentation skills work requires cswf certification security or cissp
"Principal Associate, Data Loss Prevention (DLP) Engineer","Data Loss Prevention (DLP), Cybersecurity, DLP Controls, SaaS, IaaS, Information Security Policy, Standards, Web proxy, Email solutions, Endpoint solutions, Communication skills, Technical initiatives, Collaboration, Enterprise cybersecurity, Technical delivery, Product security, Software development practices, Platform engineering, Troubleshooting, Investigating, Configuring, Supporting, Data protection, Symantec Data Loss Prevention (DLP), High School Diploma, GED, Cybersecurity, Information technology, Agile delivery model, Public cloud security, Multicloud environments, JIRA, CISSP, GIAC, CISM, CCSP, CISA, Security+, AWS Cloud Practitioner, AWS Solution Architect  Associate, AWS Developer  Associate, AWS Security  Specialty, AWS Solution Architect  Professional, McLean VA, Performancebased incentive compensation, Health, Financial benefits, Capital One Careers website, Equal opportunity employer, Diversity and inclusion, Accommodation during the application process, Technical support, Recruiting process",Jobs for Humanity,"Paris, TX",Mid senior,Onsite,principal associate data loss prevention dlp engineer,data loss prevention dlp cybersecurity dlp controls saas iaas information security policy standards web proxy email solutions endpoint solutions communication skills technical initiatives collaboration enterprise cybersecurity technical delivery product security software development practices platform engineering troubleshooting investigating configuring supporting data protection symantec data loss prevention dlp high school diploma ged cybersecurity information technology agile delivery model public cloud security multicloud environments jira cissp giac cism ccsp cisa security aws cloud practitioner aws solution architect associate aws developer associate aws security specialty aws solution architect professional mclean va performancebased incentive compensation health financial benefits capital one careers website equal opportunity employer diversity and inclusion accommodation during the application process technical support recruiting process
Data Scientist,"Data Management, Statistical Analysis, SAS, R, Simulation Modeling, AgentBased Modeling, Dynamic Modeling, Discrete Event Modeling, Data Science, Health Economics, Healthcare, Large Language Models, Longitudinal Surveys, Statistical Programming, Medicare, Medicaid, Marketscan Data, Problem Solving, Interpersonal Skills, Communication Skills, Teamwork, Statistics, Biostatistics, Quantitative Analysis, U.S. Citizenship, Security Clearance",RAND Corporation,"Washington, DC",Mid senior,Onsite,data scientist,data management statistical analysis sas r simulation modeling agentbased modeling dynamic modeling discrete event modeling data science health economics healthcare large language models longitudinal surveys statistical programming medicare medicaid marketscan data problem solving interpersonal skills communication skills teamwork statistics biostatistics quantitative analysis u s citizenship security clearance
Senior Data Architect,"Data Modelling, Data Architecture, Data Governance, Data Standards, Data Analysis, Data Synthesis, Data Profiling, Source System Analysis, Metadata Management, AWS, Azure, SQL Server, RedShift, JIRA, Confluence, Draw IO, Visio, Collibra, Informatica, Communicating between Technical and NonTechnical Subjects, Engaging Collaboratively with Stakeholders, Leading Process Development, Evaluating Existing Data Systems, Providing Comprehensive Documentation, Championing Opportunities for Enhancing Current Data Architecture, Designing Data Architecture that Deals with Problems Spanning Different Business Areas, Identifying Similarities between Problems to Devise Common Solutions, Understanding the Impact on the Organisation of Emerging Trends in Data Tools Analysis Techniques and Data Usage, Working within a Strategic Context and Communicating How Activities Meet Strategic Goals",UK Health Security Agency,"National, MD",Mid senior,Onsite,senior data architect,data modelling data architecture data governance data standards data analysis data synthesis data profiling source system analysis metadata management aws azure sql server redshift jira confluence draw io visio collibra informatica communicating between technical and nontechnical subjects engaging collaboratively with stakeholders leading process development evaluating existing data systems providing comprehensive documentation championing opportunities for enhancing current data architecture designing data architecture that deals with problems spanning different business areas identifying similarities between problems to devise common solutions understanding the impact on the organisation of emerging trends in data tools analysis techniques and data usage working within a strategic context and communicating how activities meet strategic goals
"Senior Data Engineer, Public Company","Python, Data Engineering, Data Science, Business Intelligence, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, PySpark, SQL, Data Warehouses, Kafka, Storm, SparkStreaming, ETL, TDD, Pair Programming, Continuous Integration, Deployment, Agile Engineering Practices, Dimensional Data Modeling, Schema Design, Legal Compliance, Data Classification, Data Retention",Recruiting from Scratch,"West Lafayette, IN",Mid senior,Onsite,senior data engineer public company,python data engineering data science business intelligence snowflake airflow kubernetes docker helm spark pyspark sql data warehouses kafka storm sparkstreaming etl tdd pair programming continuous integration deployment agile engineering practices dimensional data modeling schema design legal compliance data classification data retention
