job_title,job_skills,company,job_location,job_level,job_type
Sr. Workforce Management Data Analyst,"SQL, Database Administration, Advanced Statistical Analysis, Predictive Analytics, Forecasting Techniques, Data Abnormalities Detection, Contact Workforce Management, Crossfunctional Collaboration, Performance Analytics, Business Intelligence, Root Cause Analysis, Forecasting and Scheduling, Service Level Management, Hindsight Analysis, Business Communication, Problemsolving, Decisionmaking, Excel, ACD, BackOffice Work Routing, WFM Software, Bachelor's degree in business accounting finance statistics or economics","Wisemen Multimedia, LLC","Atlanta, GA",Mid senior,Onsite
Master Data Management - Data/Process Analyst,"Master Data Analyst, Data/Master Data Experience, Polished People/Senior Stakeholder Engagement, Data Cleansing, Data Ingestion Pipelines, Business Process Workflow, Data Matching & Deduplication, Standardization, SemiAgile Delivery Framework, MDM Strategies, MDM Policies, MDM Functional Implementation, MDM Requirement Analysis, Deterministic Matching, Probabilistic Matching, Master Data Hierarchy Management, HighLevel Design, Data Profiling, Data Scorecard Development, Exception Management, LargeScale MDM Project Implementation, Thought Leadership, Data Quality Analysis, Data Governance Policies, Data Transformation, ETL Flows, SourcetoTarget Mapping, Requirements Gathering, Agile/Waterfall SDLC, Time Management, Business Communication, Analytical Skills, ProblemSolving, Informatica MDM/DG, SAP MDM, Data Enrichment, Dun & Bradstreet, SQL",OpenText,"Pasadena, CA",Mid senior,Onsite
4 Corporate Associate Positions (AmLaw),"Corporate Law, Private Equity, Venture Capital, M&A, Securities Law, SEC Periodic Reporting, Stock Exchange Rules, Corporate Governance, Capital Raising, Mergers and Acquisitions, Equity Offerings, Debt Offerings, Banking and Finance, Litigation, Collaborative Environment, Exchange Regulations",LHH,"Atlanta, GA",Associate,Onsite
Sr. Database Administrator,"SQL, AWS, DBA case tools, SQL Server, SQL programming, Scripts, Structured query language, Algorithmic thinking, Programming languages API, Data backup, Data recovery, Data security, Data integrity, Database standards, End user applications, Database design, Database documentation, Database coding, Problemsolving, Attention to detail, Accuracy, Communication skills, Interpersonal skills",Dice,"Yorba Linda, CA",Mid senior,Onsite
Senior MLOps Engineer,"Machine Learning Operations (ML Ops), Engineering, Evaluation Experimentation, Monitoring Processes, ML Workflows, Data Engineering, ETL Pipelines, LLMs, NLP, Reinforcement Learning, Probabilistic Graphs, Deep Learning, Autonomy, Flexibility, Teamfirst Mentality, Mentoring, NYCbased, Hiring, Financial Workflows, Product Ownership",Recruiting from Scratch,"Atlanta, GA",Mid senior,Onsite
Data Engineer Manager,"Data Engineering, Data Analytics, Data Warehousing, Data Modelling, Data Pipeline Design, ETL (Extract Transform Load), Cloud Computing, Data Lake, Data Strategy, Data Management, Data Governance, SQL, Python, Advanced Statistics, Machine Learning, Team Leadership, Business Requirements Gathering, Business Intelligence, Reporting, Data Visualization, Data Quality, Data Security, Full UK Driving Licence",Energy Jobline,"Wolverhampton, England, United Kingdom",Mid senior,Onsite
Data Analyst Part Time,"Data Analysis, Data Visualization, Statistical Techniques, Machine Learning, Data Mining, SQL, Python, R, Tableau, Power BI, Data Modeling, Data Quality Management, Data Processing, A/B Testing, Statistical Modeling, Hypothesis Testing, Data Management, ETL Processes, Business Intelligence, DataDriven Decision Making",Toyandsons,"Waterloo, Ontario, Canada",Mid senior,Onsite
Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern,"Hardware Validation, ML/AI Frameworks, Test Execution, Automation Development, Debugging, GPU, HighPerformance Computing, Python, Linux, C/C++, Schematics, Circuit Design, Data Traffic Management, Electrical Laboratory Equipment, Computer Architecture, Processors, Interconnects, Firmware, ML/AI Models, Workloads",AMD,"Austin, TX",Mid senior,Onsite
Enterprise Data Manager/Product owner,"Data governance, Data lineage, Data interdependencies, Data standards, Data consistency, Governance rules, Governance controls, Data quality, Data analytics, Business intelligence, Data lakes, Data Warehouse, Data gaps, Data flows, Data catalogues, Relational databases, Data transformations, Data mappings, Data modelling, Data findings, Data recommendations, Data consolidation, Agile Product Owner, Healthcare IT systems, Electronic Medical Record systems, EDW, Data Maturity Model, Tableau, Power BI, Data modernization, Data security, Data stewards, Dashboards, Data assets, Data feeds, Data privacy, Data governance policies, Data governance meetings, Third party data, First party data, Derivative data, Second party data, Product backlog, Product development, Product stakeholders, Health Informatics, Public Health, Data Science, Epidemiology, Biostatistics, Public Policy, Health Policy, Health Services Research, Health Information Sciences, Computer Science, Data governance efforts, Data sharing projects, Agile Product Owner, Enterprisewide data governance, Data lakes, Data maturity models, Health and human services",DMVTEK,State College-DuBois Area,Mid senior,Onsite
IT Database Developer Senior - DBA Admin,"SQL Server, SSIS, Power BI, Azure, AWS, Windows, Linux, PowerShell, SQL DBA, System Utilities, Debugging Tools, Monitoring Tools, Corporate Database Standards, Strategic Database Technologies, Data Management Principles, Data Management Techniques, Information Systems",Experis,"Minneapolis, MN",Mid senior,Onsite
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Revenue Cycle, Healthcare Data Analysis, Data Visualization, Epic Clarity Reporting, SQL, Python, R, Analytic Methods, Statistical Methods, Project Management, Agile Development, Communication Skills, Technical Abilities, Epic Revenue Cycle Certification, Certified Health Data Analyst (CHDA) certification, Bachelor of Science degree, 4+ years of relevant experience, 2+ years of data analysis in healthcare, Strong grasp of analytic and statistical methods, Clinical Experience, Excellent written and oral communication skills, Excellent organizational and analytical skills, Strong technical abilities",Deloitte,"Mississippi, United States",Mid senior,Onsite
Data Engineering Architect,"Data Engineering, Data Architect, Data Infrastructure, Data Pipelines, AWS S3, AWS EMR, GraphQL API, Data Science, Data Analysis, SQL, NoSQL, DataFocused Programming Languages, Python, R, Scala, Petabytes of Data, Bachelor's Degree, Master's Degree, AWS Certified Cloud Data Engineer, ETL Systems, ELT Systems",Dice,"Greenwood Village, CO",Mid senior,Onsite
"Staff Data Engineer, Fleet Analytics","Data analytics, Data engineering, Data science, Data processing, Data pipelines, Data visualizations, Machine learning, Software engineering, Python, SQL, Scala, Hadoop Distributed File System (HDFS), Spark, Presto, Linux, Ansible, Docker, Kubernetes, Jupyter Notebooks, Pandas, Bokeh, Superset, Airflow, Statistics, Communication skills, Problemsolving skills",Tesla,"Palo Alto, CA",Mid senior,Onsite
"Senior Data Engineer - Azure, Python, Scala, Spark","Azure, ADLS, Databricks, Stream Analytics, SQL DW, COSMOS DB, Analysis Services, Azure Functions, Serverless Architecture, ARM Templates, Python, SQL, Scala, SparkSQL, Hadoop, Spark, Kafka, Postgres, Cassandra, Azkaban, Luigi, Airflow, Storm",Templeton and Partners - Tech Recruitment,"London, England, United Kingdom",Mid senior,Onsite
"Senior Data Engineer, Public Company","Data Engineering, Business Intelligence, Data Science, Python, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, pySpark, SQL, TDD, Pair Programming, Continuous Integration, Automated Testing, Deployment, StreamProcessing Systems, Kafka, Storm, SparkStreaming, Dimensional Data Modeling, Schema Design, ETL, Data Warehouses, Data Management Tools, Data Classification, Data Retention",Recruiting from Scratch,"St Louis, MO",Mid senior,Onsite
IT- Data Lifecycle Manager,"Data Lifecycle Management, File System Management, Data Governance, Network Share Management, Project Folder/File Structure Creation, Network Share/File/Folder Permissions Management, Large Data Set Migration, Legacy to Modern Systems Data Transfer, NonHomogenous File/Directory Structures Data Integration, Microsoft Distributed File Systems, Windows Server OS Administration, Microsoft Office 365, Active Directory, Granular NTFS File Permissions, Windows File ACLs, NFS Shares, CloudBased Storage Systems, Azure, AWS, Communication Skills, Troubleshooting, Organizational Skills, SQL",LaBella Associates,"Albany, NY",Mid senior,Onsite
"Lead Software Engineer, Full Stack (Enterprise Data)","Software Engineering, Microservices, Full Stack Development, Cloud Computing (AWS Microsoft Azure Google Cloud), Programming Languages (Python Go), AWS Tools and Services, Data Management, Data Compliance, Mentoring, Technical Problem Solving, Agile Practices, People Management, Open Source Frameworks (Airflow Spark Presto Snowflake), Regulatory Compliance",Jobs for Humanity,"Fredericksburg, VA",Mid senior,Onsite
Senior Architect - Data Analytics Product Line,"Senior Architect, Data Analytics, Product Line, Project Management, Design, Strategy, Agile Development, Collaboration, Presentation Skills, Leadership, Communication, Business Acumen, Master's Degree, Computer Science, Engineering, Math, Security Clearance, Washington DC","RSC2, Inc.","Washington, DC",Mid senior,Onsite
VCP Design to Value Project Manager and Data Analyst-MR,"Variable Cost Productivity, Data Analytics, Costbenefit Analysis, Return on Investment Analysis, Product Configuration Management, Locally Sourced Items, Data Mining, LEAN, Six Sigma, ISO, CFDA, SQL, HTML, CSS, JavaScript, Python, C++, Java",GE HealthCare,"Waukesha, WI",Mid senior,Onsite
"Lead Data Engineer, (Python, Java or Scala)","Python, Java, Scala, Agile, Data Modeling, Machine Learning, Distributed Microservices, Cloud Computing, AWS, Microsoft Azure, Google Cloud, Open Source RDBMS, NoSQL, Cloudbased Data Infrastructure, SQL, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, MySQL, UNIX/Linux, Agile Engineering Practices",Dice,"Philadelphia, PA",Mid senior,Onsite
Data Scientist,"Data science, Machine learning, Artificial intelligence, Data management, Data analysis, Data visualization, Business intelligence, Data mining, R, Python, Pytorch, Tensorflow, Model building",Futran Solutions,"Dallas, TX",Mid senior,Onsite
Senior Data Analyst,"Data Analysis, Reporting, Team Management, Data Systems Improvement, SQL, Tableau, Excel, Leadership, Decision Making, Time Management, Communication, Team Work, Annual Leave, Benefits, Performance Bonus, Pension Scheme, Life Assurance, Colleague Discount, Training",Huws Gray,"Awsworth, England, United Kingdom",Mid senior,Onsite
Data Visualization / Business Intelligence Analyst (3019),"Data Visualization, Business Intelligence, Power BI, DAX, SQL, TransactSQL, OLTP, OLAP, ETL/ELT, Excel, Data Structures, Data Integrity, Software Development Lifecycle, Security, Privacy, Documentation, Communication, Interpersonal Skills, Presentation Skills, Critical Thinking, Problem Solving, Analytical Skills, Initiative, Teamwork, Time Management, Prioritization, DoD 8570, SECNAV 5239.2, Secret Clearance or ability to obtain, Bachelor's degree in Computer Science Information Systems or Computer Engineering, 4 years related experience, 3+ years of BI development using Power BI or equivalent tool, 3+ years of SQL and databases, 3+ years of Excel experience, Knowledge of ETL/ELT techniques and methodologies along with best practices, Exceptional analytical critical thinking and problemsolving abilities, Highly selfdirected, Takes initiative, Can work independently while being a strong contributor to a team, Effective prioritization and time management skills, Can thrive in a dynamic environment in which priorities might change frequently, Excellent communication and interpersonal skills, Strong documentation and presentation skills, Work requires CSWF certification, Security+ or CISSP",SMX,"Port Hueneme, CA",Mid senior,Onsite
"Principal Associate, Data Loss Prevention (DLP) Engineer","Data Loss Prevention (DLP), Cybersecurity, DLP Controls, SaaS, IaaS, Information Security Policy, Standards, Web proxy, Email solutions, Endpoint solutions, Communication skills, Technical initiatives, Collaboration, Enterprise cybersecurity, Technical delivery, Product security, Software development practices, Platform engineering, Troubleshooting, Investigating, Configuring, Supporting, Data protection, Symantec Data Loss Prevention (DLP), High School Diploma, GED, Cybersecurity, Information technology, Agile delivery model, Public cloud security, Multicloud environments, JIRA, CISSP, GIAC, CISM, CCSP, CISA, Security+, AWS Cloud Practitioner, AWS Solution Architect  Associate, AWS Developer  Associate, AWS Security  Specialty, AWS Solution Architect  Professional, McLean VA, Performancebased incentive compensation, Health, Financial benefits, Capital One Careers website, Equal opportunity employer, Diversity and inclusion, Accommodation during the application process, Technical support, Recruiting process",Jobs for Humanity,"Paris, TX",Mid senior,Onsite
Data Scientist,"Data Management, Statistical Analysis, SAS, R, Simulation Modeling, AgentBased Modeling, Dynamic Modeling, Discrete Event Modeling, Data Science, Health Economics, Healthcare, Large Language Models, Longitudinal Surveys, Statistical Programming, Medicare, Medicaid, Marketscan Data, Problem Solving, Interpersonal Skills, Communication Skills, Teamwork, Statistics, Biostatistics, Quantitative Analysis, U.S. Citizenship, Security Clearance",RAND Corporation,"Washington, DC",Mid senior,Onsite
Senior Data Architect,"Data Modelling, Data Architecture, Data Governance, Data Standards, Data Analysis, Data Synthesis, Data Profiling, Source System Analysis, Metadata Management, AWS, Azure, SQL Server, RedShift, JIRA, Confluence, Draw IO, Visio, Collibra, Informatica, Communicating between Technical and NonTechnical Subjects, Engaging Collaboratively with Stakeholders, Leading Process Development, Evaluating Existing Data Systems, Providing Comprehensive Documentation, Championing Opportunities for Enhancing Current Data Architecture, Designing Data Architecture that Deals with Problems Spanning Different Business Areas, Identifying Similarities between Problems to Devise Common Solutions, Understanding the Impact on the Organisation of Emerging Trends in Data Tools Analysis Techniques and Data Usage, Working within a Strategic Context and Communicating How Activities Meet Strategic Goals",UK Health Security Agency,"National, MD",Mid senior,Onsite
"Senior Data Engineer, Public Company","Python, Data Engineering, Data Science, Business Intelligence, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, PySpark, SQL, Data Warehouses, Kafka, Storm, SparkStreaming, ETL, TDD, Pair Programming, Continuous Integration, Deployment, Agile Engineering Practices, Dimensional Data Modeling, Schema Design, Legal Compliance, Data Classification, Data Retention",Recruiting from Scratch,"West Lafayette, IN",Mid senior,Onsite
"Data Quality Manager, FOOTBALL ASSOCIATION","Data Quality Manager, Data Quality Standards, Data Quality Framework, Data Quality KPIs, Data Council, Data Owners, Data Stewards, Data Quality Issues, Data Quality Initiatives, Microsoft Purview, Data Quality Rules, Data Quality Processes, Data Quality Procedures, Data Quality Mindset, Best Practices, ProblemSolving, Analytical Abilities, Communication Skills, Collaboration Skills, SelfStarter, Initiative, Bachelor's Degree, Computer Science, Information Management, Statistics, Data Quality Management, Data Quality Concepts, Data Quality Methodologies, Data Quality Frameworks, Microsoft Purview, Data Quality Tools, Competitive Salary, Development Opportunities, Event Day Tickets, Internal Events, Free Lunches, Free Private Medical Cover, Contributory Pension Scheme, Additional Thank You Days, Volunteering Days, Annual Leave, Hybrid Working Model, Remote Work, Fixed Location, Wembley Stadium, St. George's Park, Processing Centre, Homebased Contract",Guardian Jobs,"Wembley, England, United Kingdom",Mid senior,Onsite
Senior ML Engineer,"Machine learning, Deep learning, Computer vision, Object detection, Python, C++, Linux, Git, Automotive AI, Medical device, Data pipelines, Design, Deployment, Algorithm optimization",CyberCoders,"Santa Clara, CA",Mid senior,Onsite
"Director, Ontology and Data Modeling","Ontology, Data Modeling, Linked Data, SPARQL, Graph Databases, Python, R, JSON, OpenAPI/YAML, AVRO, SQL, Protégé, TopQuadrant, PoolParty, Stardog, AnzoGraph, Neptune, Data.World, Agile Principles, Processes, Methodologies, Amazon Web Services, Communication Skills, Project Management, ProblemSolving, DetailOrientation, Reading Comprehension, Writing Skills",Jobs for Humanity,"Richmond, VA",Mid senior,Onsite
Sr. Data Scientist,"Data Analytics, Data Engineering, Data Mining, Exploratory Analysis, Predictive Analysis, Statistical Analysis, Artificial Intelligence, Machine Learning, Data Visualization, Microsoft Office (Power BI), Tableau, R, Python, SQL, MultiINT Analytics, Automated Predictive Analytics, TS/SCI, Master's Degree, Bachelor's Degree, 12+ Years of Experience, 5+ Years of Related Experience",ANSER,"Washington, DC",Mid senior,Onsite
Sr. Data Engineer - ETL with Security Clearance,"ETL, Master Data Management, Data pipelines, Databricks, AWS services, Data quality, Data validation, Data cleansing, Data enrichment, Agile Scrum SDLC, Unit testing, Integration testing, User acceptance testing, Scala, Java, Apache Spark, AWS Glue, Data Lakehouse architecture, OpenSearch, Amazon S3, Amazon Redshift, Tika, Docker, ElasticSearch, NoSQL databases, AWS Lambda, SQS, NiFi",ClearanceJobs,"Chantilly, VA",Mid senior,Onsite
Assitant Vice President - Senior Database SME,"Database Platform Operations, Microsoft SQL Server, Oracle, Sybase ASE, MongoDB, Snowflake, Unix / Linux, Windows Server, Bash, PowerShell, Python, SQL, TSQL, PLSQL, Clustering, HighAvailability, Replication, Disaster Recovery, Backup and Recovery, SQL and Systems Performance Tuning, Network Optimization, Storage Optimization, Server Optimization, Virtualisation, Logical and Physical Database Design, CIS Security Hardening, Security and Auditing, AWX / Ansible Tower, Git, Ansible, Terraform, TeamCity, Serena Deployment Automation (SDA), Jenkins, Kubernetes, Docker, Infrastructure as Code, Continuous Integration (CI), Continuous Development (CD), Agile, Site Reliability Engineering, DevOps, Active Directory, LDAP, Kerberos, BMC ControlM, Oracle Cloud Control, IBM Tivoli / Netcool, Oracle ODA, Nutanix HCI, VMWare ESX, Networking Protocols (TCP/IP DNS DHCP VLAN’s), Cloud Computing, IaaS, PaaS, SaaS, Azure, AWS, GCP, Oracle, GDPR, SOX, Dell EMC PowerStore (SAN), Isilon (NAS), Rubrik, EMC Networker, Data Domain, IBM Tivoli Storage Manager, CyberArk, Splunk, Qualys, Cisco Tetration, ServiceNow, JIRA, Confluence, Communication, Interpersonal Skills, Pressure Handling, ProblemSolving Skills, ResultsDriven, Accountability, Proactive Approach, Motivation, Urgency Management, Prioritization, Structured Approach, Logical Approach, Attention to Detail, Accuracy, Performance Under Pressure, Conflict Management, Large Workload Management, Tight Deadline Management, Complex Technical Communication, Diversity and Inclusion",MUFG,"London, England, United Kingdom",Mid senior,Onsite
Sr Analyst IT - Data Science,"Data Analysis, Machine Learning, Python, PySpark, SQL, Statistical Models, Analytics Environment, Data Science, Communication Skills, Collaboration Skills, Analytical Skills, Problem Solving Skills, Bachelor's Degree in Computer Science Computer Information Systems Mathematics Statistics or Economics, Experience in a Consumer Packaged Goods Company",Reynolds American Inc.,"Winston-Salem, NC",Mid senior,Onsite
Electrical Data Center Project Manager,"Electrical project management, Building Electrical systems, Electrical Distribution, Emergency Generators, Uninterruptible Power Supplies (UPS), High/Medium/Low voltage applications, Heating Ventilation Air Conditioning Plumbing, Critical Water systems, Fire/Life Safety Protection Systems, Root cause analysis, Computerbased estimating, OSHA Certification, College degree, Journeyman’s license, Master electrician’s license, Strong communication skills, Organizational skills, Teamwork skills",Miller Electric Company,"Dallas, TX",Mid senior,Onsite
"Distinguished Engineer, Card Tech Data (Remote-Elligble)","Data Engineering, Real Time API design, Cloud native platforms, Serverless computing, High performance computing, Microservices, Data pipelines, Data Mesh, Data Fabric, Multitenancy, Data platform strategies, Software engineering, Problem solving, Operational platforms, Distributed operational systems, Resilience, Scalability, High availability, Data cleaning, Data transformation, Mentoring, Recruiting, Bachelor's Degree, Master's Degree, At least 7 years experience, At least 8 years experience, At least 10 years experience",Jobs for Humanity,"Boston, MA",Mid senior,Onsite
Quality Coach / IQA - IT and Data Apprenticeships,"Remote work, IQA Award, IT industry qualification (Level 4 or above), Handson experience in IT/Data sector, Level 4 teaching qualification (or willingness to pursue one), Understanding of Ofsted EIF, Coaching and guidance, Performance reviews, Observation, Corrective actions, Performance management, Quality assurance, Compliance, Targets/KPIs, Strategy implementation, Teamwork, Communication, Motivation, Problemsolving",KM Education Recruitment,"Sheffield, England, United Kingdom",Mid senior,Onsite
"Staff Data Scientist, Financial Strategy","Data Science, Quantitative Field, Technical Leadership, Interdisciplinary Collaboration, Execution and Velocity, Research and Statistical Depth, Scalable Design, Mentorship and Development, Forecasting Systems, Marketplace Dynamics, Experimental Design and Analysis, Stakeholder Alignment, Metric Frameworks, Hybrid Work, Pay and Benefits",Stripe,"Seattle, WA",Mid senior,Onsite
"Senior Counsel, Data Privacy and Cybersecurity","Data privacy, Cybersecurity law, Contract law, Litigation, Legal compliance, Nondisclosure agreements, Sales and purchasing agreements, Distributor/reseller agreements, Supply agreements, Marketing and other service agreements, Commercial contracts, Employment law, Antitrust, Intellectual property, Export control, Environmental regulations, Diversity equity and inclusion, Communication skills, Multitasking, Teamwork, Travel, Spanish, Portuguese, Law school graduation, California law practice admission, 612 years corporate law department or law firm experience, Law",Professional Diversity Network,"Cypress, CA",Mid senior,Onsite
Data Engineering Manager - San Antonio,"Data Engineering, Leadership, Project Management, Data Warehousing, P&C Insurance, SQL, Talend, ETL, AWS, Big Data, Orchestration, Cloud Computing, Data Security, Data Governance, Communication, Collaboration, Snowflake, Agile, Java, Python, Linux, Hadoop, Spark, NoSQL, Machine Learning, AI, Data Analytics, Business Intelligence, Bachelor's or Master's degree in Computer Science Data Engineering or a related field from an accredited college or university, Proven handson experience with Snowflake SQL Talend AWS and big data technologies, Indepth knowledge of the Property and Casualty (P&C) insurance domain, Experience leading and managing data engineering teams, Strong communication skills with the ability to collaborate effectively across departments, Certifications in Snowflake Talend AWS or related technologies, Familiarity with data governance security and compliance standards",Argo Group,"San Antonio, TX",Mid senior,Onsite
Data Operations Manager,"Infrastructure, Troubleshooting, Optimization, Azure, DBXUC, Snowflake, DataOps, Resource Optimization, Cost Management, Pipeline Monitoring, Alerts, Failure Resolution, Data Flow, Logic Apps, Access Management, Logic Apps failures, APM Configuration",Tredence Inc.,"St Louis, MO",Mid senior,Onsite
Configuration and CDRL Data Manager II/III (Top Secret),"Top Secret Security, Configuration Management, Change Control, Technical Review Boards, Physical Configuration Audits, Functional Configuration Audits, IT Configuration Management, Software Configuration Management, Hardware Configuration Management, Firmware Configuration Management, Peripheral Configuration Management, Data Requirements, Contract Data Requirements List (CDRL), Data Calls, Data Requirements Review Boards (DRRBs), Statement of Work (SOW), Statement of Objectives (SOO), Performance Work Statement (PWS), Department of Defense (DoD), DoDI 5230.24, DODD 5230.25, DoD 5010.12M, DoD 5000.02R, DFARS 252.2277013, DFARS 252.2277014, ASSIST Database, MS Office Suite, Baseline Management, Version Control, Data Duplication, Media Labeling, Release Notes, CM Reports, Change Control Documentation, Baseline Administrative Activities, Briefings, Software Development Life Cycle, Database Management, Attention to Detail, Organizational Skills, Multitasking, Teamwork, US Citizenship",Aegis Aerospace Inc.,"San Antonio, TX",Mid senior,Onsite
"RDM Release Manager, Data Center and DMZ","Program management, Project management, Data Center, DMZ, B2B, VOR, Building Networking solutions, Wireless LAN, Structured Cabling, Cable Systems, Pathways, Public transport systems, Private transport systems, WAN, Optical systems, SwitchedEthernet, LTE, SDWAN, Cloud, Virtualized services, Network Appliance, Video, Voice, Voice over IP (VoIP), UC, Collaboration services, Jira, Confluence, LeanAgile, Scrum, Kanban, SAFe Agile methodologies, Change Management, Service Delivery, PMP, ITIL, CCNA, Risk management, Decision making, Strategic thinking, Business results, Ownership, Accountability, Communication, Influence, Organization, Detail orientation, Technical acumen, Partnership, Automation, Process improvement, Financial services, Insurance, Banking, Investment banking, Nimble, Flexible, Proactive, Reactive",Bank of America,"Charlotte, NC",Mid senior,Onsite
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Data analysis, Data extraction, Data transformation, Data visualization, Data reporting, Epic Clarity reporting, SQL, Python, R, Statistical methods, Analytic methods, Epic Clarity Data Model certification, Epic Revenue Cycle certification, Certified Health Data Analyst (CHDA) certification, Project management, Agile Development, Written communication, Oral communication, Organizational skills, Analytical skills, Technical skills, User observation, Workflow analysis, Clinical experience, Healthcare data, Revenue cycle operations, EHR systems, Clinical teams, Operational teams, Senior leadership, Datadriven solutions, User experience, Informatics foundation, Digital solutions, Health system solutions",Deloitte,"Georgia, United States",Mid senior,Onsite
